token,index,energy,entropy,info_score
Ġtarg,2103,30.3269,9.5866,33.0209
alys,26266,30.1603,9.5948,32.9980
clud,758,30.1114,9.5882,32.9602
JV,41697,29.8359,9.6079,32.9424
=-=-,16822,29.8723,9.5993,32.9244
isson,30927,30.1211,9.5757,32.9203
Quantity,31208,30.2286,9.5616,32.9046
rio,27250,29.8774,9.5899,32.8937
dyl,30360,30.0668,9.5717,32.8898
asin,47337,29.8816,9.5884,32.8896
leground,28272,29.8993,9.5819,32.8729
metry,41935,29.5724,9.6116,32.8727
adan,29157,29.5344,9.6109,32.8584
laughter,27815,29.7078,9.5905,32.8429
opa,26186,29.6965,9.5845,32.8188
hao,23778,29.9282,9.5615,32.8118
inea,18343,29.7865,9.5724,32.8055
endment,5904,30.0044,9.5518,32.8022
imental,9134,29.6992,9.5741,32.7839
ILY,33340,29.8663,9.5572,32.7779
uterte,23314,29.4360,9.5951,32.7732
ourke,49003,29.7086,9.5665,32.7607
ĠDPR,41176,29.5864,9.5764,32.7567
Ġsubsequ,6399,29.5247,9.5818,32.7558
Ġappre,5208,29.6103,9.5701,32.7427
isers,21572,29.4344,9.5852,32.7389
ocaust,16377,29.6281,9.5664,32.7356
istas,37503,29.1625,9.6070,32.7273
ional,1538,29.6402,9.5577,32.7094
ĠHeist,50157,29.3523,9.5810,32.6986
ldom,23826,29.6577,9.5492,32.6858
llo,18798,29.3542,9.5685,32.6566
atoon,23122,28.8725,9.6118,32.6508
Override,37961,29.0691,9.5905,32.6412
Ġiod,41080,28.9933,9.5965,32.6376
legram,30536,28.6965,9.6240,32.6353
«ĺ,45865,28.9705,9.5894,32.6062
È,132,29.0267,9.5799,32.5916
ctica,28914,28.8813,9.5934,32.5911
ropy,28338,29.0064,9.5806,32.5875
anyl,34816,28.6862,9.6092,32.5816
translation,41519,29.1284,9.5674,32.5815
ç¥ŀ,15351,28.9299,9.5855,32.5796
asonic,30189,29.1069,9.5613,32.5540
oak,15877,28.8213,9.5858,32.5459
chool,1251,28.9924,9.5669,32.5364
elong,21537,28.5702,9.6057,32.5322
Ġeconom,1707,28.6375,9.5940,32.5144
bread,29573,28.3991,9.6165,32.5131
properties,48310,28.6012,9.5969,32.5124
acements,28613,28.6445,9.5895,32.5014
lust,38878,28.7693,9.5747,32.4914
DAY,26442,28.6316,9.5827,32.4743
iliary,28129,28.4354,9.6004,32.4706
enfranch,39827,28.7156,9.5724,32.4664
IRE,41736,28.1868,9.6185,32.4502
vag,29821,28.4466,9.5933,32.4502
ĠProced,23652,28.4088,9.5917,32.4323
%);,49563,28.7138,9.5618,32.4299
PF,42668,28.1988,9.6101,32.4257
comed,15128,28.4893,9.5783,32.4134
[_,29795,28.4621,9.5806,32.4121
Demand,42782,28.3381,9.5921,32.4106
Tea,49770,28.1886,9.6034,32.3998
crop,31476,28.8330,9.5404,32.3957
agnetic,25145,28.2534,9.5928,32.3852
ĠMFT,43910,28.1296,9.6031,32.3791
artz,13636,28.3829,9.5782,32.3781
alid,10751,28.5581,9.5599,32.3731
casts,40924,28.4294,9.5715,32.3708
UTH,24318,28.1124,9.6021,32.3701
die,11979,28.1673,9.5943,32.3622
iesta,36283,28.5665,9.5554,32.3607
ATURE,40086,28.3435,9.5749,32.3544
ĠESV,33910,28.4446,9.5650,32.3538
aram,41158,27.6580,9.6406,32.3485
ĠCipher,44334,28.4145,9.5656,32.3460
ĠWinc,35898,28.0962,9.5952,32.3418
""",37811,28.1617,9.5883,32.3399
arte,32074,28.0297,9.6002,32.3364
ĠImmunity,46824,28.1636,9.5852,32.3302
phans,44464,28.0197,9.5972,32.3230
egg,33856,27.8336,9.6149,32.3209
WT,39386,27.8092,9.6170,32.3197
ornings,28863,28.2103,9.5750,32.3111
orer,11934,27.8990,9.6019,32.2990
omorph,25831,28.2240,9.5694,32.2965
ilities,2410,28.0342,9.5866,32.2923
INAL,17961,27.8644,9.6011,32.2847
ĠGEAR,43790,28.2860,9.5586,32.2804
Cub,43632,27.9133,9.5941,32.2776
OAD,41048,28.1262,9.5684,32.2611
ĠAnge,49759,27.8536,9.5950,32.2606
Ġdissatisf,27570,28.0075,9.5795,32.2593
istration,33397,27.5588,9.6225,32.2543
Ġmarqu,44054,27.7963,9.5983,32.2526
hawk,40624,27.9960,9.5770,32.2471
ittee,2979,27.8050,9.5957,32.2468
oru,27786,27.9230,9.5827,32.2422
mate,9830,27.8414,9.5907,32.2422
ĠCrate,37504,27.9226,9.5814,32.2379
trump,40954,27.7641,9.5939,32.2271
ature,1300,27.6413,9.6019,32.2130
dress,49380,27.9122,9.5725,32.2043
WAY,27285,27.7651,9.5769,32.1705
pan,6839,27.5735,9.5933,32.1613
oland,23573,27.5570,9.5949,32.1610
ilde,44725,27.9542,9.5553,32.1606
ĠSynd,19148,27.4533,9.6026,32.1521
fram,19298,27.4822,9.5981,32.1468
ographs,33492,27.5920,9.5865,32.1448
iberal,16813,27.6907,9.5765,32.1442
ixties,46550,27.7964,9.5648,32.1401
cible,37369,27.6163,9.5816,32.1364
avid,8490,27.5987,9.5823,32.1329
glas,14391,27.7744,9.5634,32.1281
")),48774,27.4795,9.5921,32.1258
olit,6212,27.3738,9.6002,32.1171
âĶĢ,7280,27.2745,9.6065,32.1047
hirt,49756,27.8068,9.5503,32.0950
MU,42422,27.3320,9.5957,32.0879
embed,20521,27.2929,9.5993,32.0867
acles,9928,27.6496,9.5633,32.0861
Course,49046,27.6866,9.5592,32.0848
fuck,31699,27.5419,9.5725,32.0809
ĠBrowne,46760,27.4011,9.5831,32.0691
ãĥĵ,36922,27.2751,9.5958,32.0690
BRE,40438,27.6196,9.5590,32.0616
