model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
tinyllama,pca,512,d=128,0.3383,0.1727,545.0,
tinyllama,rand_proj,512,d=128,0.24776,0.0412,544.8,
tinyllama,topk_f32,512,nnz=85,0.49663,0.0686,510,
tinyllama,wav_f32,512,nnz=85,0.48139,0.0502,510,
tinyllama,dct_f32,512,nnz=85,0.49338,0.0444,510,
tinyllama,fft_c64,512,nnz=85,0.5359,0.0548,850,
tinyllama,topk_i8,512,nnz=170,0.62565,0.1236,512,
tinyllama,wav_i8,512,nnz=170,0.61729,0.1039,512,
tinyllama,pq,512,m=512,0.93899,0.5304,577.5,
tinyllama,pca,1024,d=256,0.42894,0.2119,1089.8,
tinyllama,rand_proj,1024,d=256,0.35196,0.0773,1089.5,
tinyllama,topk_f32,1024,nnz=170,0.62566,0.1235,1020,
tinyllama,wav_f32,1024,nnz=170,0.6173,0.104,1020,
tinyllama,dct_f32,1024,nnz=170,0.62304,0.0941,1020,
tinyllama,fft_c64,1024,nnz=170,0.67868,0.1324,1700,
tinyllama,topk_i8,1024,nnz=341,0.76758,0.232,1025,
tinyllama,wav_i8,1024,nnz=341,0.76358,0.2203,1025,
tinyllama,pq,1024,m=1024,0.99116,0.8189,1089.5,
